run,motor,timestamp,overall_utility,rvs,fqs,recovery_rate,read_count,runtime_ms,result_hash,files_recovered,files_correct_checksum
8,Carving,2026-07-30T22:00:02.580201,0.0,0.0,0.0,0.0,19296,193.87942100001965,7cb03b75dd0ddd65,1,0
9,Carving,2026-07-30T22:00:02.775448,0.0,0.0,0.0,0.0,19296,193.54050299989467,7cb03b75dd0ddd65,1,0
10,Carving,2026-07-30T22:00:02.971060,0.0,0.0,0.0,0.0,19296,193.89183200109983,7cb03b75dd0ddd65,1,0
11,Carving,2026-07-30T22:00:03.166221,0.0,0.0,0.0,0.0,19296,193.38145599976997,7cb03b75dd0ddd65,1,0
12,Carving,2026-07-30T22:00:03.364318,0.0,0.0,0.0,0.0,19296,196.37043100010487,7cb03b75dd0ddd65,1,0
13,Carving,2026-07-30T22:00:03.561025,0.0,0.0,0.0,0.0,19296,194.9354949992994,7cb03b75dd0ddd65,1,0
14,Carving,2026-07-30T22:00:03.757202,0.0,0.0,0.0,0.0,19296,194.44255700000213,7cb03b75dd0ddd65,1,0
15,Carving,2026-07-30T22:00:03.953587,0.0,0.0,0.0,0.0,19296,194.66019699939352,7cb03b75dd0ddd65,1,0
16,Carving,2026-07-30T22:00:04.148641,0.0,0.0,0.0,0.0,19296,193.32930100063095,7cb03b75dd0ddd65,1,0
17,Carving,2026-07-30T22:00:04.344223,0.0,0.0,0.0,0.0,19296,193.86043699887523,7cb03b75dd0ddd65,1,0
18,Carving,2026-07-30T22:00:04.539363,0.0,0.0,0.0,0.0,19296,193.38670700017246,7cb03b75dd0ddd65,1,0
19,Carving,2026-07-30T22:00:04.735020,0.0,0.0,0.0,0.0,19296,193.88983099997859,7cb03b75dd0ddd65,1,0
20,Carving,2026-07-30T22:00:04.930351,0.0,0.0,0.0,0.0,19296,193.56144800076436,7cb03b75dd0ddd65,1,0
21,Carving,2026-07-30T22:00:05.126801,0.0,0.0,0.0,0.0,19296,194.66208500125504,7cb03b75dd0ddd65,1,0
22,Carving,2026-07-30T22:00:05.322644,0.0,0.0,0.0,0.0,19296,194.08475499949418,7cb03b75dd0ddd65,1,0
23,Carving,2026-07-30T22:00:05.517672,0.0,0.0,0.0,0.0,19296,193.27403900024365,7cb03b75dd0ddd65,1,0
24,Carving,2026-07-30T22:00:05.713467,0.0,0.0,0.0,0.0,19296,194.0538849994482,7cb03b75dd0ddd65,1,0
25,Carving,2026-07-30T22:00:05.908552,0.0,0.0,0.0,0.0,19296,193.34686799993506,7cb03b75dd0ddd65,1,0
26,Carving,2026-07-30T22:00:06.106482,0.0,0.0,0.0,0.0,19296,196.13863100130402,7cb03b75dd0ddd65,1,0
27,Carving,2026-07-30T22:00:06.302138,0.0,0.0,0.0,0.0,19296,193.8553319996572,7cb03b75dd0ddd65,1,0
28,Carving,2026-07-30T22:00:06.499439,0.0,0.0,0.0,0.0,19296,195.5374520002806,7cb03b75dd0ddd65,1,0
29,Carving,2026-07-30T22:00:06.695254,0.0,0.0,0.0,0.0,19296,194.04036199921393,7cb03b75dd0ddd65,1,0
30,Carving,2026-07-30T22:00:06.891233,0.0,0.0,0.0,0.0,19296,194.24551200063433,7cb03b75dd0ddd65,1,0
