run,motor,timestamp,overall_utility,rvs,fqs,recovery_rate,read_count,runtime_ms,result_hash,files_recovered,files_correct_checksum,files_missing,integrity_score,read_efficiency,seed
2,MFT-First,2026-07-30T21:58:24.638897,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,291.91252300006454,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
3,MFT-First,2026-07-30T21:58:24.930092,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,289.43199300010747,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
4,MFT-First,2026-07-30T21:58:25.217328,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,285.4935720006324,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
5,MFT-First,2026-07-30T21:58:25.507909,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,288.8123730008374,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
6,MFT-First,2026-07-30T21:58:25.802082,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,292.39250300088315,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
7,MFT-First,2026-07-30T21:58:26.088950,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,285.12027299984766,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
8,MFT-First,2026-07-30T21:58:26.379214,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,288.50914199938416,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
9,MFT-First,2026-07-30T21:58:26.673469,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,292.52595900106826,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
10,MFT-First,2026-07-30T21:58:26.963882,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,288.6630690009042,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
11,MFT-First,2026-07-30T21:58:27.251926,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,286.2654050004494,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
12,MFT-First,2026-07-30T21:58:27.542482,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,288.7973119995877,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
13,MFT-First,2026-07-30T21:58:27.839408,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,295.1382729988836,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
14,MFT-First,2026-07-30T21:58:28.127262,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,286.0684120005317,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
15,MFT-First,2026-07-30T21:58:28.416697,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,287.65548699993815,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
